id,component,type,submission_date,contact,source,reference,extraction_method,peak_identificaton,interpolation_method,extra_preprocessing,complete_sample_name,sample_source,sample_composition,sample_preparation,sample_substrate,raman_technique,raman_system,delivery_optics,laser_wavelength,laser_power,acquisition_time,orig_spectral_range,orig_spectral_resolution,orig_spatial_resolution,detector,calibration,cropping,spike_removal,denoising,background_removal,baseline_removal,normalization,additional_info
27,glutathione,Peptides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,glutathione,Boehringen mannheim,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
28,glycerol,Lipids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,glycerol,Sigma-Aldrich,"BioChemika Ultra, anhydrous, ≥99.5% (GC) purity",Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
29,glycine,AminoAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,glycine,Sigma-Aldrich,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
30,guanine,NucleicAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,guanine,Sigma-Aldrich,98% purity,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
31,l-alanine,AminoAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,l-alanine,Sigma-Aldrich,"Reagent grade, 98% (TLC) purity",Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
32,l-arginine,AminoAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,l-arginine,Sigma-Aldrich,Free base,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
33,l-glutamate,AminoAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,l-glutamate (monosodium salt hydrate),Sigma-Aldrich,"≥99% (TLC) purity, powder",Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
34,l-histidine,AminoAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,l-histidine,Sigma-Aldrich,"ReagentPlus® , 99% (TLC) purity",Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
35,l-phenylalanine,AminoAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,l-phenylalanine,Sigma-Aldrich,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
36,l-proline,AminoAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,l-proline,Sigma-Aldrich,"Biochimika, 99% (NT) purity",Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
37,l-serine,AminoAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,l-serine,Sigma-Aldrich,"ReagentPlus® , 99% (TLC) purity",Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
38,l-tryptophan,AminoAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,l-tryptophan,Sigma-Aldrich,"Reagent grade, ≥98% purity",Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
39,l-tyrosine,AminoAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,l-tyrosine,Merck,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
